"Stock.ID","Species","Stock","Ocean.Region2","BY","R0.1","R","S","Lat","Lon","sst_raw","early_sst","np_all_spp_sec","np_pinks_sec","RS","RS_stnd","lnRS","S_stnd","early_sst_stnd","np_all_spp_sec_stnd","np_pinks_sec_stnd"
138,"Pink","Nisqually-Odd","WC",1959,8764,8764,4000,47.101,-122.706,12.247164050738,-0.064094555976721,295.2393375,182.1236784,2.191,-0.324517905338876,0.784358060613329,-0.362417310216223,-0.0419298293354076,-1.20241018916929,-1.17196408680525
138,"Pink","Nisqually-Odd","WC",1961,19593,19593,5000,47.101,-122.706,12.1647284825643,-0.146530124150458,318.1910517,224.2375817,3.9186,-0.226172070935189,1.36573444715453,-0.357865328622827,-0.180067133835729,-1.09940112941917,-0.935093916058515
138,"Pink","Nisqually-Odd","WC",1963,9057,9057,9000,47.101,-122.706,11.6598021586736,-0.65145644804114,344.5413654,205.1036429,1.00633333333333,-0.391956566964003,0.00631336205659203,-0.339657402249245,-1.02617231511519,-0.981138893548454,-1.04271299183802
138,"Pink","Nisqually-Odd","WC",1965,17416,17416,4000,47.101,-122.706,12.0731655359268,-0.238093070787933,272.9159333,175.2447665,4.354,-0.201386370368295,1.47109496281236,-0.362417310216223,-0.333499188964539,-1.30259934528312,-1.21065461199114
138,"Pink","Nisqually-Odd","WC",1967,6295,6295,7000,47.101,-122.706,11.9149852991104,-0.396273307604328,305.9088864,220.7792867,0.899285714285714,-0.398050389270188,-0.106154481559003,-0.348761365436036,-0.59856185576133,-1.1545244325513,-0.954545139121531
138,"Pink","Nisqually-Odd","WC",1969,20545,20545,3500,47.101,-122.706,11.6897964080175,-0.621462198697266,324.9145239,202.78803,5.87,-0.115086135964503,1.76985463384001,-0.364693301012921,-0.975910943153261,-1.06922566873057,-1.05573718527597
138,"Pink","Nisqually-Odd","WC",1971,25160,25160,10000,47.101,-122.706,11.7714772224426,-0.539781384272112,258.152649,158.6269034,2.516,-0.306016865641493,0.922670338838194,-0.335105420655849,-0.839038379719211,-1.36885810144028,-1.3041219888311
138,"Pink","Nisqually-Odd","WC",1973,13645,13645,8000,47.101,-122.706,11.7557787100474,-0.555479896667354,339.2476241,228.2673373,1.705625,-0.352148496548467,0.533931612480466,-0.344209383842641,-0.865344381303057,-1.00489761192224,-0.912428505772511
138,"Pink","Nisqually-Odd","WC",1975,10690,10690,6000,47.101,-122.706,11.535138686498,-0.776119920216745,381.4260423,279.1204321,1.78166666666667,-0.347819727644913,0.577549255808899,-0.353313347029432,-1.23507093008798,-0.815597624885573,-0.626404644187687
138,"Pink","Nisqually-Odd","WC",1977,4654,4654,5200,47.101,-122.706,12.6400055090586,0.328746902343884,457.0085303,319.9023766,0.895,-0.39829435902444,-0.110931560707282,-0.356954932304148,0.616354711556158,-0.47637760172693,-0.397026092209608
138,"Pink","Nisqually-Odd","WC",1979,1281,1281,1300,47.101,-122.706,12.4531836509705,0.141925044255712,453.4997952,297.883815,0.985384615384615,-0.393149099463629,-0.0147232415528938,-0.374707660518391,0.303297272033791,-0.492125074896635,-0.520869764657549
138,"Pink","Nisqually-Odd","WC",1981,1178,1178,500,47.101,-122.706,11.7076369126638,-0.603621694050965,597.2711755,431.0079915,2.356,-0.315125069800205,0.85696526578934,-0.378349245793108,-0.946015604558983,0.153131944889693,0.227888814984091
138,"Pink","Nisqually-Odd","WC",1983,1440,1440,500,47.101,-122.706,11.8460661967595,-0.465192409955207,524.1908162,326.2901376,2.88,-0.285295701180425,1.05779029414785,-0.378349245793108,-0.714049614725612,-0.174858332093355,-0.361098051344317
138,"Pink","Nisqually-Odd","WC",1985,12576,12576,500,47.101,-122.706,12.230163693428,-0.0810949132867059,437.708009,270.3310462,25.152,0.982566317712219,3.2249374162468,-0.378349245793108,-0.0704173328047149,-0.56299982673704,-0.6758406540503
138,"Pink","Nisqually-Odd","WC",1987,22582,22582,7700,47.101,-122.706,12.2657570441564,-0.0455015625583501,557.719549,364.3859048,2.93272727272727,-0.282294133900849,1.07593279989869,-0.345574978320659,-0.0107735450966312,-0.0243787988330057,-0.146827936861914
138,"Pink","Nisqually-Odd","WC",1989,3213,3213,12300,47.101,-122.706,12.6095175743103,0.298258967595554,688.9187022,486.0193237,0.261219512195122,-0.434373121991531,-1.34239418224465,-0.324635862991039,0.565266070824769,0.564453098138925,0.537300734330434
138,"Pink","Nisqually-Odd","WC",1991,690,690,1900,47.101,-122.706,13.4799647331238,1.16870612640904,650.2049051,398.5924679,0.363157894736842,-0.428570149492788,-1.01291756756323,-0.371976471562354,2.02387461677479,0.390702597244843,0.045567300987149
138,"Pink","Nisqually-Odd","WC",1993,892,892,500,47.101,-122.706,12.7267109553019,0.415452348587176,690.5075378,434.867605,1.784,-0.347686899667599,0.578858034157818,-0.378349245793108,0.761647051924375,0.571583914592431,0.249597258921212
138,"Pink","Nisqually-Odd","WC",1995,46,46,579,47.101,-122.706,12.4049975077311,0.0937389010163806,609.5707575,401.9695761,0.079447322970639,-0.444720735802984,-2.5326610810839,-0.37798963924723,0.222551738415108,0.208333415511851,0.06456188788796
138,"Pink","Nisqually-Odd","WC",2005,1452,1452,581,47.101,-122.706,12.3554545640945,0.0441959573797988,764.4126192,548.7740497,2.49913941480207,-0.306976675967857,0.91594643853283,-0.377980535284043,0.139532613993654,0.903275607832925,0.890265468016958
