"Stock.ID","Stock","Ocean.Region2","lat","lon","na_count","n_years","yr_start","yr_end","ocean_region_lab"
163,"Nisqually-Odd","WC",47.101,-122.706,4,27,1959,2019,"West Coast"
164,"S South Misc.-Odd","WC",47.16,-122.91,0,31,1959,2019,"West Coast"
156,"Puyallup-Odd","WC",47.26972,-122.4272,0,31,1959,2019,"West Coast"
157,"Hood Canal-Odd","WC",47.5644,-122.9956,0,31,1959,2019,"West Coast"
158,"Snohomish-Odd","WC",48.02139,-122.2072,0,31,1959,2019,"West Coast"
159,"Dungeness-Odd","WC",48.1508,-123.1333,0,31,1959,2019,"West Coast"
160,"Stillaguamish-Odd","WC",48.23861,-122.3758,0,31,1959,2019,"West Coast"
161,"Skagit-Odd","WC",48.3875,-122.3656,0,31,1959,2019,"West Coast"
162,"Nooksack-Odd","WC",48.775,-122.5978,0,31,1959,2019,"West Coast"
165,"Fraser-Odd","WC",49.12333,-123.0569,0,30,1961,2019,"West Coast"
167,"S Southeast Alaska-Odd","SEAK",55.71556,-131.8714,0,30,1961,2019,"Southeast Alaska"
169,"N Southeast Alaska Outside-Odd","SEAK",57.17694,-135.7869,0,30,1961,2019,"Southeast Alaska"
171,"N Southeast Alaska Inside-Odd","SEAK",57.57528,-134.7503,0,30,1961,2019,"Southeast Alaska"
200,"Auke Creek-Odd","SEAK",58.376,-134.65,0,19,1979,2015,"Southeast Alaska"
177,"Prince William Sound-Odd","GOA",60.5,-147,0,29,1961,2017,"Gulf of Alaska"
185,"Kodiak-Odd","GOA",58.03333,-154.6644,0,21,1979,2019,"Gulf of Alaska"
187,"Chignik-Odd","GOA",56.38528,-158.2261,0,20,1981,2019,"Gulf of Alaska"
189,"S AKPen-Odd","GOA",55,-161,0,29,1963,2019,"Gulf of Alaska"
191,"NW AK Peninsula-Odd","BS",54.982,-163.37,0,29,1963,2019,"Bering Sea"
202,"Kwiniuk-Odd","BS",64.68,-162.01,3,25,1965,2019,"Bering Sea"
