"Stock.ID","Species","Stock","Ocean.Region2","BY","R0.1","R","S","Lat","Lon","ocean.basin","sst_raw","early_sst","np_all_spp_sec","det_np_all_spp_sec","RS","RS_stnd","lnRS","S_stnd","early_sst_stnd","np_all_spp_sec_stnd","det_np_all_spp_sec_stnd"
205,"Pink","Hecate Lowlands-Even","WC",1954,2271842,2271842,617914,52.45,-129.1,"SC",9.48628757216713,-1.02422511013478,397.4,58.3344681052386,3.67663137588726,0.869700089199007,1.30199694597116,-0.552450738683739,-1.4695112229854,-0.388122211207484,1.26865186751365
205,"Pink","Hecate Lowlands-Even","WC",1956,1264102,1264102,997293,52.45,-129.1,"SC",10.9793109677055,0.468798285403554,307.9,-19.1785619368125,1.26753321240598,-0.637525003063788,0.23707265922155,0.441508242408772,0.563625316657438,-0.894536308575085,0.324084797770589
205,"Pink","Hecate Lowlands-Even","WC",1958,1343417,1343417,386030,52.45,-129.1,"SC",10.6442790681666,0.133766385864647,262.6,-53.1084101486452,3.48008444939512,0.746732721614453,1.24705656055951,-1.1599782622727,0.107392950216257,-1.15085539919802,-0.0893813934606266
205,"Pink","Hecate Lowlands-Even","WC",1960,3794721,3794721,485666,52.45,-129.1,"SC",10.8799587488174,0.369446066515528,265.4,-40.3358527437175,7.81343762997616,3.45784626045439,2.05584502449805,-0.898935618794453,0.428331638661852,-1.13501227659881,0.0662638846887711
205,"Pink","Hecate Lowlands-Even","WC",1962,2805238,2805238,1174319,52.45,-129.1,"SC",11.2858126163483,0.775299934046358,245.6,-52.5949846808577,2.38882109546043,0.0639961132645348,0.870799978750247,0.90530983023225,0.981006385955261,-1.2470457864075,-0.0831248351842119
205,"Pink","Hecate Lowlands-Even","WC",1964,3895026,3895026,842691,52.45,-129.1,"SC",9.44184652241793,-1.06866615988398,275.7,-18.5092087584094,4.62212839581768,1.46123963486846,1.53085529074322,0.0364567071501933,-1.53002917761036,-1.076732218466,0.332241477621762
205,"Pink","Hecate Lowlands-Even","WC",1966,4919483,4919483,1205156,52.45,-129.1,"SC",10.3827498826114,-0.127762799690542,270.1,-24.6809132509208,4.08203004424323,1.12333319331174,1.40659442453774,0.986101632361386,-0.248746508096495,-1.10841846366442,0.257033621282655
205,"Pink","Hecate Lowlands-Even","WC",1968,2650760,2650760,1316518,52.45,-129.1,"SC",9.88650803132491,-0.624004650977001,268.2,-32.3923262416599,2.01346278592469,-0.170842579196249,0.699856018856322,1.27786596315572,-0.924507814560633,-1.1191691539996,0.163063010557084
205,"Pink","Hecate Lowlands-Even","WC",1970,2212040,2212040,788075,52.45,-129.1,"SC",9.2581906968897,-1.25232198541221,224.7,-87.1723874627344,2.80689020715033,0.325556337331318,1.03207718266762,-0.106635197544976,-1.78012396561941,-1.36530338009446,-0.504482070313381
205,"Pink","Hecate Lowlands-Even","WC",1972,1792555,1792555,749848,52.45,-129.1,"SC",10.0162372155623,-0.494275466739616,238.3,-90.0646047927034,2.39055781971813,0.0650826752067677,0.871526736082092,-0.206788526986572,-0.74784806125785,-1.28835107032687,-0.539726380166148
205,"Pink","Hecate Lowlands-Even","WC",1974,2907742,2907742,782915,52.45,-129.1,"SC",9.53590950098905,-0.974603181312863,305,-44.3992786635226,3.7139944949324,0.893075903187699,1.31210798068181,-0.120154207143392,-1.40193816488271,-0.910945256981409,0.0167473284129282
205,"Pink","Hecate Lowlands-Even","WC",1976,2160680,2160680,1388152,52.45,-129.1,"SC",10.139318596233,-0.371194086068894,349.6,-24.4406377061709,1.55651542482379,-0.45672654147502,0.442449620791826,1.46554439989466,-0.580241007584651,-0.65858694700828,0.259961598257779
205,"Pink","Hecate Lowlands-Even","WC",1978,1279809,1279809,1038646,52.45,-129.1,"SC",10.4818764708259,-0.0286362114760266,408,6.74270672233649,1.23218979325006,-0.659637214598246,0.208792906209099,0.549851576502432,-0.11376008447358,-0.328144675653332,0.639959132293599
205,"Pink","Hecate Lowlands-Even","WC",1980,853385,853385,702365,52.45,-129.1,"SC",10.6061469208111,0.0956342385091394,373.1,-56.9617813504172,1.21501640884725,-0.670381548840559,0.194757581925393,-0.331192234886102,0.055466193840431,-0.52561788233634,-0.13633824113792
205,"Pink","Hecate Lowlands-Even","WC",1982,1588954,1588954,628620,52.45,-129.1,"SC",11.354180671952,0.843667989650078,479.5,19.9166533387223,2.52768604244217,0.1508754009994,0.927304276500213,-0.524401413730127,1.07410713200361,0.0764207764336346,0.800495704604606
205,"Pink","Hecate Lowlands-Even","WC",1984,2865332,2865332,1016612,52.45,-129.1,"SC",9.99589357592843,-0.514619106373483,442.8,-46.2703012600903,2.81851089697938,0.332826690845857,1.03620869476561,0.492123309546717,-0.775551175095545,-0.131237294777438,-0.00605279087674762
205,"Pink","Hecate Lowlands-Even","WC",1986,2204648,2204648,1328543,52.45,-129.1,"SC",10.3949065100063,-0.115606172295613,384.8,-133.050532238686,1.65944798173638,-0.392327948283104,0.506485005941731,1.30937101943885,-0.232192123597689,-0.459416262903928,-1.06354916848718
205,"Pink","Hecate Lowlands-Even","WC",1988,2909735,2909735,929644,52.45,-129.1,"SC",10.7381285970861,0.227615914784208,523,-22.2964046529494,3.12994544148082,0.527672200748909,1.14101557356335,0.264270358625202,0.235193296175222,0.322555002528502,0.286091036506148
205,"Pink","Hecate Lowlands-Even","WC",1990,729752,729752,1350469,52.45,-129.1,"SC",10.4126507585699,-0.0978619237320205,472.3,-98.5345494540033,0.540369308736446,-1.09246689725988,-0.615502468112822,1.36681633037972,-0.208028751321706,0.0356813183213807,-0.642940392123488
