"Species","BY","Stock.ID","Stock","Ocean.Region2","early_sst_raw","early_sst_anom","early_sst_anom_stnd","lnRS"
"Sockeye",1950,19,"Birkenhead","WC",11.2629207789355,-0.696854411128562,-1.07866603534396,1.7694349312049
"Sockeye",1951,19,"Birkenhead","WC",11.7436290269953,-0.216146163068805,-0.34378953872207,2.76934094157903
"Sockeye",1952,19,"Birkenhead","WC",11.2006284791903,-0.759146710873773,-1.17389458028374,2.29136002501671
"Sockeye",1953,19,"Birkenhead","WC",11.0732988078851,-0.886476382179065,-1.36854816308063,2.26040501044247
"Sockeye",1954,19,"Birkenhead","WC",11.916821945379,-0.0429532446851678,-0.0790231120688979,3.01297704941381
"Sockeye",1955,19,"Birkenhead","WC",12.401175499707,0.441400309642929,0.66142609920976,3.53385331482465
"Sockeye",1956,19,"Birkenhead","WC",13.1969251589997,1.23714996893556,1.87791806532293,2.3300043700896
"Sockeye",1957,19,"Birkenhead","WC",11.9115418185816,-0.0482333714825055,-0.0870950373961799,2.37992073121348
"Sockeye",1958,19,"Birkenhead","WC",11.9136344956968,-0.0461406943673782,-0.0838958844106993,3.15527672924093
"Sockeye",1959,19,"Birkenhead","WC",12.2752065195749,0.315431329510746,0.468852655387627,3.15850889727814
"Sockeye",1960,19,"Birkenhead","WC",11.8729901855566,-0.0867850045075194,-0.146030346142855,2.19326959627615
"Sockeye",1961,19,"Birkenhead","WC",12.3549451457762,0.395169955712099,0.59075204551627,2.50998450007479
"Sockeye",1962,19,"Birkenhead","WC",11.261609003447,-0.698166186617143,-1.08067139510072,1.9687465175166
"Sockeye",1963,19,"Birkenhead","WC",10.9637299641013,-0.996045225962827,-1.53605011126587,3.08920235715413
"Sockeye",1964,19,"Birkenhead","WC",11.714225940199,-0.245549249865123,-0.388739126131815,2.57092791994178
"Sockeye",1965,19,"Birkenhead","WC",11.7246973694922,-0.235077820571912,-0.372731064475544,2.82776719421209
"Sockeye",1966,19,"Birkenhead","WC",11.5194951572396,-0.44028003282453,-0.686431283783035,3.1585733543942
"Sockeye",1967,19,"Birkenhead","WC",11.3865277083474,-0.573247481716728,-0.889703545910939,3.33254574887498
"Sockeye",1968,19,"Birkenhead","WC",11.3204449702196,-0.639330219844578,-0.990726674344007,2.21787410618947
