"Year","pink_raw","pink_lm","pink_exp","pink_gam"
1952,198,59.1953051643285,23.9868278122864,36.3190960846177
1953,336.5,191.973145539906,159.450975407383,170.665805284581
1954,179.8,29.5509859154923,-0.337840803126539,9.81181120438839
1955,294.4,138.428826291079,111.119455168545,120.255972009768
1956,260.8,99.106666666666,74.3219231897681,82.496673612666
1957,362,194.584507042253,172.268606726255,179.531893516909
1958,187,13.8623474178398,-6.04146744407655,0.359260169956627
1959,240,61.1401877934266,43.5907104777518,49.1761080030228
1960,125.1,-59.4819718309865,-74.735866984432,-69.9204716528151
1961,182.1,-8.20413145539964,-21.2222248833416,-17.133583583173
1962,162.9,-33.1262910798127,-43.9694061548654,-40.5664854459607
1963,224.2,22.4515492957741,13.7215280699371,16.4774519285084
1964,146.2,-61.270610328639,-67.9505018526041,-65.8052191128724
1965,205.1,-8.09276995305214,-12.7865944017331,-11.2179898538645
1966,161.1,-57.8149295774653,-60.587867220882,-59.5643649838296
1967,175.2,-49.4370892018784,-50.3554574520082,-49.847835152696
1968,172,-58.3592488262915,-57.4905220757737,-57.4718521230257
1969,220.8,-15.2814084507046,-12.6942382576445,-13.1398063411128
1970,132.2,-109.603568075118,-105.367803700041,-106.25500675455
1971,202.8,-44.7257276995309,-38.9124370006321,-40.2206627097663
1972,126.2,-127.047887323944,-119.729378016869,-121.439867769606
1973,158.6,-100.370046948357,-91.6198882368874,-93.7155852980203
1974,133.9,-130.79220657277,-120.685251156881,-123.150635666328
1975,228.3,-42.1143661971834,-30.7267726650583,-33.5476849432131
1976,199,-77.1365258215966,-64.5457814322894,-67.7092349386055
1977,279.1,-2.75868544600967,10.9563706904227,7.46238552015433
1978,234.1,-53.4808450704228,-38.7216917324684,-42.5349718069421
1979,319.9,26.596995305164,42.3186318675015,38.1967320176489
1980,244.5,-54.5251643192491,-37.9240823558378,-42.3442712194483
1981,297.9,-6.84732394366223,10.548716910773,5.84044795727755
1982,223.2,-87.2694835680754,-69.1644442933564,-74.1504792016825
1983,431,114.808356807512,133.534934356214,128.2817837305
1984,308.8,-13.1138028169016,6.14532702042351,0.636281133494663
1985,326.3,-1.33596244131472,18.3651812402547,12.6122675421931
1986,261.8,-71.5581220657279,-51.5070825276702,-57.4907906834641
1987,270.3,-68.780281690141,-48.4730713836134,-54.6732141888809
1988,212.2,-132.602441314554,-112.134420465478,-118.53510993229
1989,364.4,13.8753990610327,34.4072065620359,27.8236290445406
1990,303,-53.2467605633804,-32.7498829902379,-39.4966766129842
1991,486,124.031079812206,144.392588657699,137.504506735195
1992,277.2,-90.4910798122067,-70.3671307601978,-77.3720754458139
1993,398.6,25.1867605633803,44.9691759198161,37.8745324643198
1994,453.7,74.5646009389671,93.8996947579289,86.7454940387677
1995,434.9,50.0424413145539,68.8225801681443,61.6421780270385
1996,424.3,33.7202816901408,51.8359543661673,44.6661549536213
1997,402,5.69812206572771,23.0379068076853,15.9191930318914
1998,443.6,41.5759624413146,58.0264936168256,51.0032533243054
1999,501.1,93.3538028169015,108.799737004641,101.920484070871
2000,381.8,-31.6683568075117,-17.3443753225259,-24.02678590107
2001,401.8,-17.3905164319248,-4.30789076502356,-10.7360547815882
2002,382.9,-42.012676056338,-30.2928924423643,-36.4046565020004
2003,466.3,35.6651643192489,45.8985001836053,40.1702293090131
2004,361.3,-75.0569953051642,-66.4358693253101,-71.7084339845968
2005,594.5,152.420845070423,159.301804971243,154.562447180014
2006,347.5,-100.30131455399,-95.2907092641919,-99.4139178507251
2007,550,96.4765258215964,99.4843166853427,96.0657798707783
2008,331.7,-127.545633802817,-126.675428088247,-129.295069209182
2009,657.6,192.63220657277,191.227705190598,189.506986671957
2010,410.3,-60.389953051643,-64.2086757222833,-64.9245618358769
2011,654.8,178.387887323944,172.012995193607,172.413789956678
2012,437.6,-44.5342723004692,-53.6097585046972,-51.9744666666179
2013,578.3,90.4435680751176,78.520543535538,81.5141159473436
2014,359.3,-134.278591549295,-149.198662290978,-144.717091371125
2015,552.7,53.3992488262914,35.3300156855311,41.4351690358868
2016,432.2,-72.8229107981218,-94.1960763703759,-86.3259980460056
2017,512.8,2.05492957746505,-22.7796385932267,-12.9976839478793
2018,701.3,184.832769953052,156.376581775612,168.222776899051
2019,638.8,116.610610328639,84.3697895661104,98.4377560473264
2020,312.9,-215.011549295774,-251.202859156608,-234.750724006879
2021,797.2,263.566291079813,223.255742057001,242.258950824487
2022,299,-240.355868544601,-284.957350824711,-263.232077624303
