"Stock.ID","Stock","BY","Region","Ocean.Region","Sub.Region","Lat","Lon","R","S","ocean_0","ocean_1","ocean_2","ocean_3","ocean_4","DetailFlag","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R2.5","R3.1","R3.2","R3.3","R3.4","R4.1","R4.2","R4.3","Ocean.Region2","early_sst","np_pinks_sec","RS","RS_stnd","lnRS","S_stnd","early_sst_stnd","np_pinks_sec_stnd"
"102","Early Stuart",1950,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,241666,25658,0,1,0,0,0,1,0,0,0,0,0,0.00239586867825842,0.995361366514115,0.00224276480762706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC",-0.724734722594831,179.364213043223,9.41873879491776,-0.00193139371433922,2.24270119373492,-0.261502806536795,-1.06914119233615,-1.0203821680759
"102","Early Stuart",1951,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,173654,29785,0,1,0,0,0,1,0,0,0,0,0,5.18271966093496e-05,0.912319900491782,0.0876282723116081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC",-0.180894178030438,294.397745399357,5.8302501259023,-0.439425021307579,1.76305990268433,-0.193025789767691,-0.206189086888857,-0.180972538133643
"102","Early Stuart",1952,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,88600,15484,0,1,0,0,0,1,0,0,0,0,0,0.000316027088036117,0.880496613995485,0.119187358916479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC",-0.732378490360414,260.731096662501,5.72203564970292,-0.452618080591659,1.74432462489563,-0.430314332732305,-1.08127012526105,-0.426640984357733
"102","Early Stuart",1953,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,540891,78238,0,1,0,0,0,1,0,0,0,0,0,0.000543547590919427,0.994120811771688,0.00533564063739275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC",-1.06357445789843,361.837212594024,6.91340525064547,-0.307371249238652,1.93346231677619,0.610927903838658,-1.60680331758953,0.311139083946429
"102","Early Stuart",1954,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,155823,18010,0,1,0,0,0,1,0,0,0,0,0,0.00218838040597344,0.993312925562978,0.00449869403104805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC",-0.0833780500353645,186.6206238954,8.65202665186008,-0.0954057523440192,2.15779358851372,-0.388401818955043,-0.0514530179997288,-0.967431510790349
"102","Early Stuart",1955,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,27467,1397,0,1,0,0,0,1,0,0,0,0,0,0.00040048057669203,0.940182764772272,0.0594167546510358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC",0.393433767678785,239.905977623068,19.6614173228346,1.246813411903,2.97865820382118,-0.664052092661156,0.705139637901193,-0.57860367826402
"102","Early Stuart",1956,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,110394,16661,0,0.973132597786112,0.0268674022138884,0,0,1,0,0,0,0,0,0,0.915221841766763,0.0579107560193489,0,0,0,0.0268674022138884,0,0,0,0,0,0,0,0,0,0,"WC",1.24208436528326,126.596047674229,6.62589280355321,-0.342423572112814,1.89098512559308,-0.410785026035615,2.05175644922865,-1.40543603243944
"102","Early Stuart",1957,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,1222936,119273,0,0.997407059731662,0.00259294026833784,0,0,1,0,0,0,0,0,0.000596924123584554,0.994134607207573,0.00267552840050501,0,0,1.88071984143079e-05,0.00257413306992353,0,0,0,0,0,0,0,0,0,0,"WC",0.00752672795816599,181.961949594432,10.2532509453103,0.0998088600861693,2.32759482069424,1.291798847168,0.0927923317609633,-1.00142625989438
"102","Early Stuart",1958,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,103107,22196,0,1,0,0,0,1,0,0,0,0,0,0.00732249022859748,0.990349830758338,0.0023276790130641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC",-0.121603019626761,161.666579729097,4.64529644981078,-0.583889649762281,1.53585519150181,-0.318945847984491,-0.112107410761078,-1.14952332828188
"102","Early Stuart",1959,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,20835,1297,0,1,0,0,0,1,0,0,0,0,0,0,0.70467962562995,0.29532037437005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC",0.351442159195333,224.2375817,16.0639938319198,0.808230487949874,2.77658035954011,-0.665711337070391,0.638508439999355,-0.692937317805339
"102","Early Stuart",1960,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,74149,7401,0,1,0,0,0,1,0,0,0,0,0,0.000296699888063224,0.943033621491861,0.0566696786200758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC",-0.142049933209717,146.158154421702,10.0187812457776,0.0712232885905739,2.304461456101,-0.564431058330722,-0.144552044215988,-1.26268964841161
"102","Early Stuart",1961,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,255842,87782,0,0.996556468445369,0.00344353155463137,0,0,1,0,0,0,0,0,0.00246245729786353,0.98546368461785,0.00863032652965502,0,0,0,0.00344353155463137,0,0,0,0,0,0,0,0,0,0,"WC",0.631689396563181,204.447108006681,2.91451550431751,-0.794899270874127,1.06970359820711,0.769286190255991,1.08319750547917,-0.837350115178723
