"Year","sst_raw","sst_anomaly","Stock.ID","Species"
1950,10.7579686641693,-1.44233596107187,9,"Sockeye"
1951,11.3593883514404,-0.840916273800755,9,"Sockeye"
1952,11.5006865262985,-0.69961809894266,9,"Sockeye"
1953,12.0533221562704,-0.146982468970827,9,"Sockeye"
1954,11.5016142129898,-0.698690412251367,9,"Sockeye"
1955,11.1720990737279,-1.02820555151325,9,"Sockeye"
1956,12.103286465009,-0.0970181602321299,9,"Sockeye"
1957,12.5890020529429,0.388697427701733,9,"Sockeye"
1958,13.4415339231491,1.24122929790792,9,"Sockeye"
1959,12.217031399409,0.0167267741677971,9,"Sockeye"
1960,12.1069246133169,-0.0933800119243139,9,"Sockeye"
1961,12.5813480218251,0.381043396583971,9,"Sockeye"
1962,12.0468501647313,-0.153454460509841,9,"Sockeye"
1963,12.7973593473434,0.597054722102264,9,"Sockeye"
1964,11.5310045083364,-0.669300116904787,9,"Sockeye"
1965,11.1456521749496,-1.05465245029154,9,"Sockeye"
1966,11.9558103481928,-0.244494277048334,9,"Sockeye"
1967,11.9623808860779,-0.23792373916329,9,"Sockeye"
1968,11.7783599297206,-0.421944695520617,9,"Sockeye"
1969,11.638171672821,-0.562132952420135,9,"Sockeye"
1970,11.5663098891576,-0.633994736083566,9,"Sockeye"
1971,10.9884994824727,-1.21180514276845,9,"Sockeye"
1972,11.6215970118841,-0.57870761335712,9,"Sockeye"
1973,11.8307273387909,-0.36957728645029,9,"Sockeye"
1974,11.6481247742971,-0.552179850944113,9,"Sockeye"
1975,11.5081800619761,-0.692124563265062,9,"Sockeye"
1976,11.4163659016291,-0.783938723612057,9,"Sockeye"
1977,11.9004380702972,-0.299866554943944,9,"Sockeye"
1978,12.539906779925,0.339602154683842,9,"Sockeye"
1979,12.0985187292099,-0.101785896031281,9,"Sockeye"
1980,12.3092483679454,0.108943742704172,9,"Sockeye"
1981,12.0381656885147,-0.162138936726465,9,"Sockeye"
1982,11.5666562716166,-0.633648353624561,9,"Sockeye"
1983,13.0934450229009,0.893140397659717,9,"Sockeye"
1984,11.6946057478587,-0.505698877382497,9,"Sockeye"
1985,11.9718673229218,-0.228437302319426,9,"Sockeye"
1986,12.0917661587397,-0.10853846650145,9,"Sockeye"
1987,12.2978515625,0.0975469372588276,9,"Sockeye"
1988,12.137734413147,-0.062570212094205,9,"Sockeye"
1989,12.6631323496501,0.462827724408884,9,"Sockeye"
1990,12.5468460321426,0.346541406901461,9,"Sockeye"
1991,11.874424735705,-0.32587988953613,9,"Sockeye"
1992,13.3306065400442,1.13030191480298,9,"Sockeye"
1993,13.1073172489802,0.907012623739025,9,"Sockeye"
1994,12.6877340873082,0.487429462067067,9,"Sockeye"
1995,13.1870526075363,0.986747982295146,9,"Sockeye"
1996,12.254433631897,0.054129006655801,9,"Sockeye"
1997,13.2148352861404,1.01453066089927,9,"Sockeye"
1998,13.2002125581106,0.999907932869371,9,"Sockeye"
1999,11.5312667687734,-0.66903785646778,9,"Sockeye"
2000,12.5825641552607,0.382259530019542,9,"Sockeye"
2001,11.7997841040293,-0.400520521211836,9,"Sockeye"
2002,11.7507197062175,-0.449584919023724,9,"Sockeye"
2003,12.8610566059748,0.660751980733659,9,"Sockeye"
2004,13.3639675378799,1.16366291263876,9,"Sockeye"
2005,13.1862010161082,0.985896390867025,9,"Sockeye"
2006,12.2671165466309,0.0668119213896784,9,"Sockeye"
2007,12.1290962696075,-0.0712083556336352,9,"Sockeye"
2008,10.8781929413478,-1.32211168389342,9,"Sockeye"
2009,11.4854460557302,-0.714858569511005,9,"Sockeye"
2010,12.1781110366186,-0.0221935886226211,9,"Sockeye"
2011,12.1283733447393,-0.0719312805019106,9,"Sockeye"
2012,12.1125862598419,-0.0877183653992585,9,"Sockeye"
2013,12.461522102356,0.261217477114783,9,"Sockeye"
2014,12.6539690494537,0.453664424212566,9,"Sockeye"
2015,13.483314593633,1.28300996839183,9,"Sockeye"
2016,13.6075384616852,1.40723383644399,9,"Sockeye"
2017,12.7286537885666,0.528349163325403,9,"Sockeye"
2018,13.0513651371002,0.851060511859048,9,"Sockeye"
2019,12.8621742725372,0.66186964729605,9,"Sockeye"
2020,12.599623243014,0.399318617772835,9,"Sockeye"
2021,12.2765112320582,0.0762066068170297,9,"Sockeye"
2022,12.0166852474213,-0.183619377819922,9,"Sockeye"
1950,10.4996659415109,-1.46010924855323,6,"Sockeye"
1951,11.1057878562382,-0.853987333825892,6,"Sockeye"
1952,11.2297064917428,-0.730068698321308,6,"Sockeye"
1953,11.7735470363072,-0.186228153756915,6,"Sockeye"
1954,11.2220627239772,-0.737712466086892,6,"Sockeye"
1955,10.8908667564392,-1.06890843362491,6,"Sockeye"
1956,11.8710631643023,-0.088712025761842,6,"Sockeye"
1957,12.3478749820164,0.388099791952307,6,"Sockeye"
1958,13.2306014469692,1.27082625690504,6,"Sockeye"
1959,11.9623036384583,0.00252844839413927,6,"Sockeye"
1960,11.8328381947109,-0.126936995353238,6,"Sockeye"
1961,12.305883373533,0.346108183468856,6,"Sockeye"
1962,11.8123912811279,-0.147383908936194,6,"Sockeye"
1963,12.5906221185412,0.630846928477051,6,"Sockeye"
1964,11.2862903390612,-0.673484851002923,6,"Sockeye"
1965,10.9103071689606,-1.04946802110355,6,"Sockeye"
1966,11.7131859234401,-0.246589266624007,6,"Sockeye"
