"Stock","Species","BY","R","S","R0.0","R0.1","R0.2","R0.3","R0.4","R0.5","R0.6","R0.7","Logrs","Stock.ID","Lat","Lon","ocean.basin","Ocean.Region2","sst_raw","early_sst","np_pinks_sec","RS","RS_stnd","lnRS","S_stnd","early_sst_stnd","np_pinks_sec_stnd"
"Willapa Bay","Chum",1968,102452,13200,0,0,0.367957677741772,0.56697770663335,0.065064615624878,0,0,0,2.04917756661995,98,46.3733,-123.9575,"SC","WC",11.7576601207256,-0.484927003514281,132.2,7.76151515151515,2.80682330288775,2.04917756661995,-1.01022382707799,-0.809704555400468,-1.68818233457003
"Willapa Bay","Chum",1969,49559,33900,0,0,0.360055691196352,0.624508161988741,0.0154159688452148,0,0,0,0.379748864608417,98,46.3733,-123.9575,"SC","WC",11.6599526107311,-0.582634513508786,202.8,1.46191740412979,-0.324949749300111,0.379748864608417,0.0987588248016705,-0.95851067808557,-1.18970182378873
"Willapa Bay","Chum",1970,32833,23100,0,0,0.304541162854445,0.695428379983553,0,0,0,0,0.351601489646387,98,46.3733,-123.9575,"SC","WC",11.0930126309395,-1.14957449330043,126.2,1.42134199134199,-0.345121352225548,0.351601489646387,-0.479840819657284,-1.82194625425273,-1.73054611735597
"Willapa Bay","Chum",1971,28026,37600,0,0,0.761792621137515,0.233033611646328,0.00517376721615643,0,0,0,-0.293871399647823,98,46.3733,-123.9575,"SC","WC",11.7703818678856,-0.472205256354307,158.6,0.745372340425532,-0.681171941759721,-0.293871399647823,0.296982777070016,-0.790329648919253,-1.50178169031187
"Willapa Bay","Chum",1972,70218,22400,0,0,0.388917371614116,0.611096869748498,0,0,0,0,1.14254372955969,98,46.3733,-123.9575,"SC","WC",11.8707393705845,-0.371847753655426,133.9,3.13473214285714,0.50667098747207,1.14254372955969,-0.517342648464809,-0.637487652845257,-1.67617926278068
"Willapa Bay","Chum",1973,10955,14500,0,0,0.475855773619352,0.524144226380648,0,0,0,0,-0.280352676379099,98,46.3733,-123.9575,"SC","WC",11.6708837747574,-0.571703349482534,228.3,0.75551724137931,-0.676128520148025,-0.280352676379099,-0.940577573578304,-0.94186278545917,-1.00965574694846
"Willapa Bay","Chum",1974,86085,12200,0,0,0.489179299529535,0.499645699018412,0.011186617877679,0,0,0,1.95389922848922,98,46.3733,-123.9575,"SC","WC",11.4804237186909,-0.762163405549034,199,7.05614754098361,2.45615785357938,1.95389922848922,-1.0637978682316,-1.23192874324723,-1.21653221955316
"Willapa Bay","Chum",1975,5535,12600,0,0,0.666485998193315,0.333514001806685,0,0,0,0,-0.822605247796832,98,46.3733,-123.9575,"SC","WC",11.4185371696949,-0.824049954545013,279.1,0.439285714285714,-0.833339411147373,-0.822605247796832,-1.04236825177016,-1.32618042771828,-0.650975719360779
"Willapa Bay","Chum",1976,38112,16500,0,0,0.136859781696054,0.802345717884131,0.060820738874895,0,0,0,0.837168812266355,98,46.3733,-123.9575,"SC","WC",11.8511926531792,-0.391394471060742,234.1,2.30981818181818,0.0965744357315061,0.837168812266355,-0.83342949127109,-0.667256820317338,-0.968704090255376
"Willapa Bay","Chum",1977,60299,40200,0,0,0.569561684273371,0.421482943332394,0.00893878837128311,0,0,0,0.405448524222725,98,46.3733,-123.9575,"SC","WC",12.5635167956352,0.320929671395307,319.9,1.49997512437811,-0.306029788458032,0.405448524222725,0.436275284069394,0.41759524212736,-0.362901996416345
"Willapa Bay","Chum",1978,157372,18900,0,0,0.0813931321963246,0.751328063442035,0.167272449991104,0,0,0,2.11945050736901,98,46.3733,-123.9575,"SC","WC",12.1758657097816,-0.0667214144582642,244.5,8.32656084656085,3.08772931497929,2.11945050736901,-0.704851792502433,-0.17278778005572,-0.895273533426402
"Willapa Bay","Chum",1979,40598,6915,0,0,0.395191881373467,0.557933888368885,0.0468742302576482,0,0,0,1.77002583919385,98,46.3733,-123.9575,"SC","WC",12.3398279249668,0.0972408007269055,297.9,5.87100506146059,1.86697780920056,1.77002583919385,-1.34693667572841,0.076922621017212,-0.518235866631481
"Willapa Bay","Chum",1980,49807,37300,0,0,0.382396048748168,0.606099544240769,0.011484329511916,0,0,0,0.289162209751886,98,46.3733,-123.9575,"SC","WC",12.134751200676,-0.107835923563943,223.2,1.33530831099196,-0.387892013544774,0.289162209751886,0.280910564723934,-0.235404161196346,-1.04566496231651
"Willapa Bay","Chum",1981,57537,22120,0,0,0.578288753323948,0.406625301979596,0.0151033248170742,0,0,0,0.955946042466675,98,46.3733,-123.9575,"SC","WC",11.6542274355888,-0.588359688651072,431,2.60113019891501,0.241396877021665,0.955946042466675,-0.532343379987819,-0.967229978318117,0.421534048170092
"Willapa Bay","Chum",1982,115368,66889,0,0,0.412402052562236,0.529964981624021,0.0576329658137438,0,0,0,0.545092490158979,98,46.3733,-123.9575,"SC","WC",13.0328250825405,0.790237958300599,308.8,1.72476789905665,-0.194276628606361,0.545092490158979,1.86611286841801,1.13234016319117,-0.441274994570346
"Willapa Bay","Chum",1983,42103,20871,0,0,0.114267391872313,0.724865211505118,0.160867396622568,0,0,0,0.70175836144729,98,46.3733,-123.9575,"SC","WC",11.7681276202202,-0.474459504019728,326.3,2.01729672751665,-0.0488492634481074,0.70175836144729,-0.599257357388674,-0.79376281239545,-0.317713961444669
"Willapa Bay","Chum",1984,250667,42635,0,0,0.23615793064105,0.691574878224896,0.0722671911340543,0,0,0,1.77144985287407,98,46.3733,-123.9575,"SC","WC",11.9833654761314,-0.259221648108467,261.8,5.87937140846722,1.871137043036,1.77144985287407,0.566728074278427,-0.465960877876694,-0.773124626393591
"Willapa Bay","Chum",1985,16437,52703,0,0,0.1670621159579,0.738273407556123,0.0946644764859768,0,0,0,-1.16513748869891,98,46.3733,-123.9575,"SC","WC",12.1719874143601,-0.0705997098798545,270.3,0.311879779139707,-0.896677816293108,-1.16513748869891,1.10611152061294,-0.178694328122974,-0.713109267446834
"Willapa Bay","Chum",1986,34375,34040,0,0,0.143243636363636,0.535854545454545,0.320872727272727,0,0,0,0.00979325228156203,98,46.3733,-123.9575,"SC","WC",12.3488248288631,0.106237704623239,212.2,1.00984136310223,-0.549694188485535,0.00979325228156203,0.106259190563175,0.0906246832748538,-1.12333189742408
"Willapa Bay","Chum",1987,45533,31884,0,0,0.0141216260733973,0.872466123470889,0.113412250455713,0,0,0,0.35633302123189,98,46.3733,-123.9575,"SC","WC",12.1781324744225,-0.0644546498174501,364.4,1.42808305106009,-0.341770111397973,0.35633302123189,-0.00924644216400105,-0.169335553535382,-0.0487039407539111
"Willapa Bay","Chum",1988,138232,61947,0,0,0.120131373343365,0.675176514844609,0.204692111812026,0,0,0,0.802654252258374,98,46.3733,-123.9575,"SC","WC",12.602767854929,0.360180730689062,303,2.23145592199784,0.0576175334886989,0.802654252258374,1.60134995703688,0.477373635263314,-0.482226651263427
"Willapa Bay","Chum",1989,23074,17056,0,0,0.0972956574499437,0.704689260639681,0.198015081910375,0,0,0,0.302204394521664,98,46.3733,-123.9575,"SC","WC",12.5677108466625,0.325123722422611,486,1.35283771106942,-0.379177472555804,0.302204394521664,-0.803642324389684,0.423982678177584,0.809868723707932
"Willapa Bay","Chum",1990,26924,17762,0,0,0.132001188530679,0.711298469766751,0.15670034170257,0,0,0,0.415956738312154,98,46.3733,-123.9575,"SC","WC",11.8421459197998,-0.400441204440103,277.2,1.51582029050783,-0.298152545135141,0.415956738312154,-0.765819051335238,-0.681034771645995,-0.664390917242996
