"","Ocean Region","Coefficient","Lower_95_CI","Mean","Upper_95_CI","perc_change_RS"
"1","West Coast","SST",-0.127992150041366,-0.0666626369333762,-0.00329992830720971,-6.44892451171455
"2","Southeast Alaska","SST",-0.0587583094566186,0.0571128242265007,0.177387304516318,5.87752591566688
"3","Gulf of Alaska","SST",-0.0236954688976871,0.0553408953640374,0.130627550334015,5.6900845870038
"4","Bering Sea","SST",0.149855244328194,0.228646258678012,0.305634752483388,25.6897343832936
"5","West Coast","Comp",-0.398401724963632,-0.318495090183331,-0.244797160535612,-27.2757351425107
"6","Southeast Alaska","Comp",-0.267348753783906,-0.112711175107337,0.0396125371263206,-10.6591338483625
"7","Gulf of Alaska","Comp",-0.139306651694155,-0.0476170578739259,0.0398013538867078,-4.65011479487214
"8","Bering Sea","Comp",-0.0780690785565563,4.89268231306793e-06,0.0786485876480527,0.000489269428216588
"9","West Coast","SST x Comp",-0.108966670933731,-0.0552667651108858,-0.000720002222518065,-5.37673075872994
"10","Southeast Alaska","SST x Comp",-0.171470184442774,-0.0679571569978061,0.0460278511489358,-6.56994990418268
"11","Gulf of Alaska","SST x Comp",-0.0711369761296689,-0.023802247868743,0.0267414100567495,-2.35212085717437
"12","Bering Sea","SST x Comp",-0.0630074051408617,-0.0119238008910467,0.036914946907425,-1.18529940853721
"13","West Coast","NPGO",-0.0305565629176456,0.0355914516772508,0.104568442397618,3.62324089868025
"14","Southeast Alaska","NPGO",-0.0520593789305083,0.0738094971493563,0.195061119762236,7.66016902683184
"15","Gulf of Alaska","NPGO",-0.030127126890356,0.0490049302281271,0.133332934237911,5.0225528578705
"16","Bering Sea","NPGO",-0.00941889434801383,0.0598292356357493,0.127253432620182,6.16552381834947
