"","Model","Competitor index","Parameter","Era","Region","Posterior_Mean","Lower_2.5_CI","Lower_10_CI","Posterior_Median","Upper_90_CI","Upper_97.5_CI"
"20","1","all_spp_numbers_np","Competitor effect","Middle","Bering Sea",-0.103698907946106,-0.246914795936768,-0.196955058269828,-0.103245279248901,-0.0117397163591442,0.0380517092528882
"21","1","all_spp_numbers_np","Competitor effect","Late","West Coast",-0.667257726957905,-0.883738081689788,-0.811260750948393,-0.663874211335379,-0.527952939521692,-0.455934973430934
"22","1","all_spp_numbers_np","Competitor effect","Late","Southeast Alaska",0.0502722794633882,-0.290297068124757,-0.162292960890477,0.051504731336812,0.259994513619291,0.380099286202781
"23","1","all_spp_numbers_np","Competitor effect","Late","Gulf of Alaska",0.18278752882893,-0.0744645806159941,0.0172037355017066,0.187080326134589,0.344343132326296,0.427648120408581
"24","1","all_spp_numbers_np","Competitor effect","Late","Bering Sea",0.0177975413396887,-0.21726806610642,-0.138051807009381,0.0164969595521656,0.176539493784312,0.259672999427236
"25","1","pink_biomass_np","SST effect","Early","West Coast",-0.00231205031232389,-0.0944799169312708,-0.0622303124086973,-0.00361031807676197,0.0583542099270134,0.0917862255673192
"26","1","pink_biomass_np","SST effect","Early","Southeast Alaska",0.0340785951251161,-0.154652188865508,-0.0864389623656929,0.0342505794435321,0.15502281175556,0.22391989723597
"27","1","pink_biomass_np","SST effect","Early","Gulf of Alaska",0.129700986022125,0.0196183597902114,0.0591442209591351,0.130746352162973,0.198836533511888,0.235414633780803
"28","1","pink_biomass_np","SST effect","Early","Bering Sea",0.123350774744725,0.0190013811657053,0.053319716014684,0.123210375351332,0.19321219774851,0.233396253398698
"29","1","pink_biomass_np","SST effect","Middle","West Coast",-0.118215525020277,-0.20184811006767,-0.174684451562003,-0.117905955004984,-0.0615863757621462,-0.03541689959919
"30","1","pink_biomass_np","SST effect","Middle","Southeast Alaska",0.111560864996892,-0.0440321236428483,0.0142089046448044,0.111515356531391,0.21472861429722,0.270461556362864
"31","1","pink_biomass_np","SST effect","Middle","Gulf of Alaska",0.0551332761964385,-0.0480629974362747,-0.0106640726371286,0.0558801389804547,0.119752330049962,0.155738133420705
"32","1","pink_biomass_np","SST effect","Middle","Bering Sea",0.288183072214801,0.187979511203662,0.220261023305098,0.28848736219465,0.35669278444393,0.393649805535902
"33","1","pink_biomass_np","SST effect","Late","West Coast",-0.00602030328590734,-0.227102994528127,-0.145371552440086,-0.00717299443284731,0.13739738372083,0.209183311534827
"34","1","pink_biomass_np","SST effect","Late","Southeast Alaska",-0.421546195439313,-0.724184332816335,-0.620655739503269,-0.425879471311895,-0.222879421557284,-0.109447755698298
