"","Model","Competitor index","Parameter","Era","Region","Posterior_Mean","Lower_2.5_CI","Lower_10_CI","Posterior_Median","Upper_90_CI","Upper_97.5_CI"
"1","1","1","SST effect","All","West Coast",-0.150841992638388,-0.229628266511958,-0.198547774726757,-0.150885753291563,-0.1033439538375,-0.0706022385435837
"2","1","1","SST effect","All","Gulf of Alaska",0.00658977122784867,-0.1329486630956,-0.0739560256597962,0.00816201192638706,0.0859644982419169,0.140244868439657
"3","1","1","SST effect","All","Bering Sea",0.0194216226808075,-0.121396457364783,-0.0564527811201289,0.021879413252112,0.0897660031775759,0.1446833723863
"4","1","1","Competitor effect","All","West Coast",-0.0803135961123104,-0.138254465001532,-0.117955071239478,-0.0804705886970907,-0.0431662119058888,-0.0220413631358248
"5","1","1","Competitor effect","All","Gulf of Alaska",0.0724830158382301,-0.0644437537457242,-0.0073654027754249,0.0660559880939434,0.154052453456722,0.260007812770284
"6","1","1","Competitor effect","All","Bering Sea",-0.0315883162048243,-0.257460245020575,-0.142609979424667,-0.026268203421378,0.074402846877046,0.174238266356321
"7","1","1","SST x Competitor effect","All","West Coast",-0.0815932466867784,-0.134509622180232,-0.116441747608351,-0.0815285026645271,-0.0463035671177226,-0.0284275544321196
"8","1","1","SST x Competitor effect","All","Gulf of Alaska",0.0583965571894617,-0.0415096683565768,-0.00408190054226924,0.058592712477895,0.120256832724356,0.162447799620763
"9","1","1","SST x Competitor effect","All","Bering Sea",-0.0634499113957354,-0.151566965433404,-0.114553691185386,-0.0616482860361418,-0.0144991544849302,0.0128018182990535
"10","1","2","SST effect","All","West Coast",-0.152414633184449,-0.236072134280645,-0.203120258453461,-0.15240182579424,-0.101838401071676,-0.0702410563711431
"11","1","2","SST effect","All","Gulf of Alaska",-0.00994619537701912,-0.18372674634963,-0.103222721244813,-0.00859028378854267,0.0818692127754617,0.152291453964968
"12","1","2","SST effect","All","Bering Sea",0.0120605919309273,-0.161622360404189,-0.0789652172485127,0.0182332890458612,0.0944547579551447,0.152559303992125
"13","1","2","Competitor effect","All","West Coast",-0.0547745630581151,-0.137250296977362,-0.10884913119571,-0.054830429474861,-0.00082882213488336,0.0312535811683032
"14","1","2","Competitor effect","All","Gulf of Alaska",-0.097860169011163,-0.302827393279949,-0.217713212445827,-0.0977137804303183,0.0232621934615636,0.11237226641379
"15","1","2","Competitor effect","All","Bering Sea",-0.0885985419176189,-0.303973389503923,-0.193102892323976,-0.0815573884467161,0.0101764650791449,0.07384990564373
"16","1","2","SST x Competitor effect","All","West Coast",-0.0771345539867596,-0.138702649031106,-0.115318976697855,-0.076659127649286,-0.0396681180798302,-0.0200082558627005
"17","1","2","SST x Competitor effect","All","Gulf of Alaska",0.0739639065087566,-0.133617906495198,-0.039532960071387,0.0741643837228936,0.186135603695383,0.274285252829103
