"Stock.ID","Stock","BY","Region","Ocean.Region","Sub.Region","Lat","Lon","R","S","ocean_0","ocean_1","ocean_2","ocean_3","ocean_4","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R2.5","R3.1","R3.2","R3.3","R3.4","R4.1","R4.2","R4.3","Ocean.Region2"
102,"Early Stuart",1950,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,241666,25658,0,1,0,0,0,0,0,0,0,0,0.00239586867825842,0.995361366514115,0.00224276480762706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC"
102,"Early Stuart",1951,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,173654,29787,0,1,0,0,0,0,0,0,0,0,5.18271966093496e-05,0.912319900491782,0.0876282723116081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC"
102,"Early Stuart",1952,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,88600,15483,0,1,0,0,0,0,0,0,0,0,0.000316027088036117,0.880496613995485,0.119187358916479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC"
102,"Early Stuart",1953,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,540891,78332,0,1,0,0,0,0,0,0,0,0,0.000543547590919427,0.994120811771688,0.00533564063739275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC"
102,"Early Stuart",1954,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,155823,18010,0,1,0,0,0,0,0,0,0,0,0.00218838040597344,0.993312925562978,0.00449869403104805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC"
102,"Early Stuart",1955,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,27467,1397,0,1,0,0,0,0,0,0,0,0,0.00040048057669203,0.940182764772272,0.0594167546510358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC"
102,"Early Stuart",1956,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,110394,16662,0,0.973132597786112,0.0268674022138884,0,0,0,0,0,0,0,0,0.915221841766763,0.0579107560193489,0,0,0,0.0268674022138884,0,0,0,0,0,0,0,0,0,0,"WC"
102,"Early Stuart",1957,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,1222936,119278,0,0.997407059731662,0.00259294026833784,0,0,0,0,0,0,0,0.000596924123584554,0.994134607207573,0.00267552840050501,0,0,1.88071984143079e-05,0.00257413306992353,0,0,0,0,0,0,0,0,0,0,"WC"
102,"Early Stuart",1958,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,103107,22196,0,1,0,0,0,0,0,0,0,0,0.00732249022859748,0.990349830758338,0.0023276790130641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC"
102,"Early Stuart",1959,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,20835,1297,0,1,0,0,0,0,0,0,0,0,0,0.70467962562995,0.29532037437005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC"
102,"Early Stuart",1960,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,74149,7401,0,1,0,0,0,0,0,0,0,0,0.000296699888063224,0.943033621491861,0.0566696786200758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC"
102,"Early Stuart",1961,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,255842,87809,0,0.996556468445369,0.00344353155463137,0,0,0,0,0,0,0,0.00246245729786353,0.98546368461785,0.00863032652965502,0,0,0,0.00344353155463137,0,0,0,0,0,0,0,0,0,0,"WC"
102,"Early Stuart",1962,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,75785,14075,0,0.971867783862242,0.0281322161377581,0,0,0,0,0,0,0,0,0.892802005673946,0.0790657781882958,0,0,0,0.0281322161377581,0,0,0,0,0,0,0,0,0,0,"WC"
102,"Early Stuart",1963,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,92554,2590,0,1,0,0,0,0,0,0,0,0,0.0035870951012382,0.976694686345269,0.0197182185534931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC"
102,"Early Stuart",1964,"Fraser River","WC","Fraser Early Stuart",49.12,-123.06,42887,1300,0,0.930724928299951,0.069275071700049,0,0,0,0,0,0,0,0.0239466505001516,0.604845291113857,0.301932986685942,0,0,0,0.069275071700049,0,0,0,0,0,0,0,0,0,0,"WC"
