"","Ocean Region","Coefficient","Lower_95_CI","Mean","Upper_95_CI","perc_change_RS"
"1","West Coast","SST",-0.310498398279302,-0.185910748527205,-0.0590907236267094,-16.9652298569887
"2","Southeast Alaska","SST",-0.235816298586645,0.0101287238238193,0.223302994210349,1.01801929724596
"3","Gulf of Alaska","SST",0.0374007779176217,0.276934537502783,0.513639052043695,31.9080017936543
"4","Bering Sea","SST",-0.0767345358593481,0.457670122808661,0.973379548311964,58.0387583246708
"5","West Coast","Comp",-0.239846018915173,0.0156937920788133,0.286467321061421,1.58175863866012
"6","Southeast Alaska","Comp",0.00345582936349157,0.152217260173492,0.284553209437594,16.4413189564378
"7","Gulf of Alaska","Comp",-0.145888252724568,-0.00086950533751392,0.140257356945749,-0.0869127427287508
"8","Bering Sea","Comp",-0.477466263914378,0.234813289933487,0.948178919453254,26.4672619578947
"9","West Coast","SST x Comp",-0.307569209722537,-0.159227596875167,-0.0155129729800968,-14.7197758245625
"10","Southeast Alaska","SST x Comp",-0.230668451103812,-0.1162146173864,0.00451196522457782,-10.9715867661151
"11","Gulf of Alaska","SST x Comp",-0.303975317403542,-0.115926761908036,0.0721319769659722,-10.9459557608
"12","Bering Sea","SST x Comp",-0.772175972335487,-0.226063431222991,0.369973974428015,-20.2332496964333
"13","West Coast","NPGO",-0.0572002840677232,0.0751648816196603,0.20795621462108,7.80618888216924
"14","Southeast Alaska","NPGO",-0.0964854757246748,0.0768614419447833,0.229881383513843,7.98924382299691
"15","Gulf of Alaska","NPGO",-0.133542834109696,-0.0253985736519875,0.0804426893331703,-2.5078743346083
"16","Bering Sea","NPGO",-0.785575723399618,-0.225820165391656,0.326377380452076,-20.2138428111874
