"","Competitor index","Parameter","Era","Region","Posterior_Mean","Lower_2.5_CI","Posterior_Median","Upper_97.5_CI"
"1","all_spp_numbers_na","Regional SST effect","Early","West Coast",-0.0322202321617669,-0.128751479393598,-0.0326418966542037,0.0667087551756752
"2","all_spp_numbers_na","Regional SST effect","Early","Southeast AK",0.0740551261732936,-0.107423670497671,0.0738007625029065,0.259257905864641
"3","all_spp_numbers_na","Regional SST effect","Early","Gulf of AK",0.0853991185594037,-0.0353973014007178,0.0855833516263398,0.211715473703187
"4","all_spp_numbers_na","Regional SST effect","Early","Bering Sea",0.18952412987243,0.0923756647524878,0.189261529793395,0.288553212734821
"5","all_spp_numbers_na","Regional SST effect","Middle","West Coast",-0.172404201948188,-0.2679623921518,-0.172711463030248,-0.0785675067740306
"6","all_spp_numbers_na","Regional SST effect","Middle","Southeast AK",0.0899834047801267,-0.0667404363858508,0.0880233443804925,0.257543145149621
"7","all_spp_numbers_na","Regional SST effect","Middle","Gulf of AK",0.0419957082886695,-0.0707100224206293,0.0427960549900347,0.155412087239914
"8","all_spp_numbers_na","Regional SST effect","Middle","Bering Sea",0.244948674133283,0.143086958248777,0.243835499244539,0.348854592095151
"9","all_spp_numbers_na","Regional SST effect","Late","West Coast",-0.130413916480098,-0.344869837343774,-0.129538374188224,0.090651663722393
"10","all_spp_numbers_na","Regional SST effect","Late","Southeast AK",-0.30630052087621,-0.573354774486746,-0.307212063422376,-0.0369819736826695
"11","all_spp_numbers_na","Regional SST effect","Late","Gulf of AK",-0.0650729226302295,-0.267599767880673,-0.0666861794418461,0.137456819316527
"12","all_spp_numbers_na","Regional SST effect","Late","Bering Sea",0.185389912469079,0.0463480931724106,0.185494871156414,0.324271912325222
"13","all_spp_numbers_na","SST effect SD",NA,"West Coast",0.0433409643307906,0.00199459941084841,0.0381029878206693,0.116970842570918
"14","all_spp_numbers_na","SST effect SD",NA,"Southeast AK",0.112372497308398,0.00666564904266738,0.107284166134382,0.26342822706557
"15","all_spp_numbers_na","SST effect SD",NA,"Gulf of AK",0.05188505669054,0.0019775599241012,0.0451119897768995,0.141707382144279
"16","all_spp_numbers_na","SST effect SD",NA,"Bering Sea",0.0433632556442037,0.00184641292343423,0.0367572312125181,0.118514789027423
"17","all_spp_numbers_na","Regional competitor effect","Early","West Coast",-0.00117601762479756,-0.00240414086278257,-0.00116945601072789,-1.89317643025546e-06
"18","all_spp_numbers_na","Regional competitor effect","Early","Southeast AK",-0.000146323140550685,-0.0014977435088481,-0.000128171456932617,0.00120456533819562
"19","all_spp_numbers_na","Regional competitor effect","Early","Gulf of AK",0.00101670944344299,-1.02894436837252e-05,0.00100563231321184,0.00207845048668648
"20","all_spp_numbers_na","Regional competitor effect","Early","Bering Sea",0.00118056324860942,0.000173960168627115,0.0011745446357598,0.00217641054651245
"21","all_spp_numbers_na","Regional competitor effect","Middle","West Coast",-0.00221864837741929,-0.00305168382454215,-0.00223099229135885,-0.00135234518705366
"22","all_spp_numbers_na","Regional competitor effect","Middle","Southeast AK",-0.000569082063586794,-0.00162861693000979,-0.000553678225280229,0.000402653887219886
"23","all_spp_numbers_na","Regional competitor effect","Middle","Gulf of AK",0.000306677033683902,-0.000555949488182058,0.000301348561787917,0.00115223317843589
"24","all_spp_numbers_na","Regional competitor effect","Middle","Bering Sea",0.000750678754558796,6.36636791068459e-06,0.000749168281667386,0.00149097676894166
"25","all_spp_numbers_na","Regional competitor effect","Late","West Coast",-0.0058756223612154,-0.00701791247847316,-0.00586674459640981,-0.00469674615309429
"26","all_spp_numbers_na","Regional competitor effect","Late","Southeast AK",-0.000578784171843849,-0.00197311961805269,-0.000568541098330029,0.000835103514803034
"27","all_spp_numbers_na","Regional competitor effect","Late","Gulf of AK",-0.000462397756507531,-0.00182014589442859,-0.000464354042887384,0.000953256237125777
"28","all_spp_numbers_na","Regional competitor effect","Late","Bering Sea",0.000994696260263036,2.69701517895015e-05,0.00100420354945552,0.00192947265685949
"29","all_spp_numbers_na","Competitor effect SD",NA,"West Coast",0.00101755483020318,0.000271846649180914,0.00101889620229947,0.0017234935246389
"30","all_spp_numbers_na","Competitor effect SD",NA,"Southeast AK",0.000741135314819881,6.28495975268255e-05,0.0007159071227847,0.00160918632084604
"31","all_spp_numbers_na","Competitor effect SD",NA,"Gulf of AK",0.000326717337793097,1.91477090912629e-05,0.000298878844604693,0.000805643887494364
"32","all_spp_numbers_na","Competitor effect SD",NA,"Bering Sea",0.00025046131543344,1.00294466614788e-05,0.000207610397395714,0.000729335802219539
