Year,pink_numbers_na,all_spp_numbers_na,pink_numbers_np,all_spp_numbers_np,pink_biomass_na,all_spp_biomass_na,pink_biomass_np,all_spp_biomass_np
1952,55.7887957,117.6886766,198.0298015,294.5512895,99550.3915,297656.394,319970.2876,639240.3906
1953,54.92696433,112.6072753,336.5290869,426.2722764,113183.0305,299834.2182,552675.4487,851539.6894
1954,58.93153003,123.4236666,179.7949782,294.1033925,103108.562,328748.7841,286501.9505,685555.2437
1955,65.87384667,106.3554326,294.413004,407.5930893,129127.1514,255067.0451,476719.2539,854307.8117
1956,62.68008382,127.51658,260.8135208,397.3562074,107163.3822,303352.3627,406841.0987,854348.5051
1957,43.21861244,102.1590441,362.0339953,477.2576351,83346.83397,266406.8994,566397.0584,934985.768
1958,55.9146137,114.5933859,187.0299165,307.938449,99668.44249,290596.4857,290152.9338,685893.1907
1959,39.70973584,91.98238161,240.0020938,349.6566047,74823.6494,234236.5537,363887.2804,717668.0243
1960,43.09971618,121.4715464,125.0629748,262.6451791,69970.48144,275124.6188,188699.3624,594719.7892
1961,55.78863628,117.9183297,182.1236784,295.2393375,137977.5812,326796.5203,320847.1034,680009.6796
1962,102.5817348,154.1120285,162.859114,265.4176175,168891.3654,330458.5698,261130.2102,598325.9104
1963,81.14924257,124.9089686,224.2375817,318.1910517,147607.0631,279482.9019,356067.7383,649175.5178
1964,88.87126096,141.5301995,146.2015324,245.6432706,147018.1224,317974.2867,224239.0281,552973.0981
1965,57.6174385,147.933677,205.1036429,344.5413654,110398.2231,326464.1925,312951.4926,688530.2236
1966,89.33447343,150.6167984,161.1151013,275.723802,169246.3149,368514.5583,273010.9161,642766.7318
1967,23.85496897,72.4799174,175.2447665,272.9159333,53612.23921,206634.9599,282005.2532,599342.8629
1968,106.2807914,166.1547864,172.0482063,270.0579143,155797.1281,359678.9049,259553.1054,569657.4247
1969,54.34883364,108.0012144,220.7792867,305.9088864,115180.7668,267941.0653,359290.2477,609121.219
1970,69.80047101,163.3925681,132.2029342,268.1575922,123595.4387,392236.2746,212156.7726,618283.517
1971,54.78100033,134.7903182,202.78803,324.9145239,101371.8228,339371.7097,317793.316,681546.988
1972,53.12752129,108.3685429,126.2276425,224.6738138,78844.26276,272519.7583,187207.5776,510872.0924
1973,36.94518169,96.0491465,158.6269034,258.152649,69828.19145,289080.1065,225402.197,567828.7348
1974,42.37786414,100.829978,133.9360774,238.3194561,75899.21567,271104.5978,197811.736,534514.5177
1975,47.41930387,107.5921887,228.2673373,339.2476241,97804.07442,269701.0148,328897.3084,651961.1951
1976,80.83444671,138.4811314,199.0080226,305.0497121,151500.3336,350449.2978,295166.8002,638916.1782
1977,67.1620778,131.6991114,279.1204321,381.4260423,146569.7555,370238.9313,397046.0682,742281.7695
