Year,pink_numbers_na,all_spp_numbers_na,pink_numbers_np,all_spp_numbers_np,pink_biomass_na,all_spp_biomass_na,pink_biomass_np,all_spp_biomass_np
1978,121.1188957,196.3093928,234.0968415,349.5954565,186200.8711,439502.805,321426.4339,708060.5098
1979,107.614867,197.1981418,319.9023766,457.0085303,194745.6662,458448.7138,450338.7399,868766.3926
1980,117.5081263,235.9721228,244.4852059,407.9586411,189249.5669,529519.6738,343088.0027,830788.7202
1981,123.9229787,227.1609166,297.883815,453.4997952,243448.1827,565160.5712,463997.9491,955992.6859
1982,109.2815021,208.0042219,223.2043036,373.1234832,167013.1548,496315.0309,312488.0326,809075.3593
1983,138.8363733,245.0181558,431.0079915,597.2711755,216246.6568,524637.2787,564974.3189,1072315.809
1984,144.981063,254.2275931,308.7731516,479.5063711,239235.8588,565593.8074,432090.1644,960539.126
1985,191.4191293,313.7240867,326.2901376,524.1908162,308517.0233,664382.1956,462143.3936,1064155.569
1986,162.7469921,269.1377818,261.7616152,442.763661,250845.1868,593939.1792,391791.1072,979583.396
1987,117.0298367,216.435639,270.3310462,437.708009,211675.9259,531360.4639,402442.4501,945305.7311
1988,118.9696246,218.0869239,212.1579015,384.7937078,183415.4484,514616.8229,309049.2261,887840.3465
1989,179.8260594,295.4523553,364.3859048,557.719549,289856.8005,632615.812,521486.0025,1118828.8
1990,164.9486629,292.6079575,303.0355966,523.034228,238958.6845,619076.9665,424670.9375,1111197.261
1991,219.011513,339.6742804,486.0193237,688.9187022,279877.7183,618624.7453,616159.8332,1217830.176
1992,126.3497266,255.3979401,277.2341688,472.3206335,192975.6396,571952.6201,404142.7987,997026.3514
1993,189.1282212,340.868327,398.5924679,650.2049051,263713.8748,674980.7838,533588.0314,1260213.971
1994,173.9028634,318.5857447,453.748659,698.5702437,245660.9127,673989.0289,602884.7112,1348500.118
1995,231.4693131,375.6580628,434.867605,690.5075378,362173.7385,779375.9904,642597.7775,1413727.294
1996,201.7165991,329.6935845,424.2513281,677.0867961,289463.7641,707824.0644,605088.1177,1428059.169
1997,150.7793588,254.0083405,401.9695761,609.5707575,260433.7711,576547.6288,603084.455,1254711.779
1998,181.1101323,285.7409785,443.5715796,636.0950425,292194.6594,640226.7063,626879.1419,1250446.263
1999,268.0294875,385.4576246,501.0739726,699.167391,362053.2588,729026.5966,642258.0539,1259043.501
2000,144.1110692,250.7594464,381.8192568,567.919246,223521.497,580056.892,556105.4469,1161310.427
2001,223.5269268,320.2507658,401.8196412,601.1721842,345125.2897,666643.8453,582168.4283,1238027.193
2002,180.4780906,278.3404539,382.8857158,574.1699327,278069.7735,608501.6778,589334.8887,1248148.35
2003,242.9808583,349.7071443,466.3283391,675.4527621,387330.7306,706095.6385,692026.1975,1382092.145
2004,189.9818756,315.7007456,361.2705607,594.246628,314575.5879,692154.5253,596337.372,1339898.969
2005,292.694696,407.9216702,594.4661709,812.9759031,471369.5444,833997.8758,851783.37,1566207.37
2006,125.3536033,244.7093148,347.539971,580.0615815,213497.867,584954.5222,527944.968,1277556.509
2007,229.7941709,333.2940062,550.0325667,765.6711362,369030.3758,681711.5097,816787.3976,1484670.602
2008,130.620059,223.8925702,331.66544,524.6847944,207346.6871,488465.2818,519604.8746,1118175.531
2009,190.2988748,284.3357691,657.5931569,878.5160661,269925.9272,552532.3042,896683.1452,1588053.944
2010,163.5557634,287.6983697,410.251706,647.0718309,281544.541,640450.4957,649874.1181,1383375.706
2011,215.2632706,322.242022,654.8491385,861.4087594,342023.2873,672168.8914,863521.5632,1501418.88
2012,122.042923,220.7141694,437.6437934,652.4914573,203751.4679,518147.8887,623238.5589,1273007.753
2013,368.0908543,462.9099284,578.324505,798.7617641,510530.8313,805889.7216,809316.2005,1489747.355
2014,166.1640445,283.9065162,359.2631226,609.4167395,259857.461,600597.6213,532670.1499,1301050.736
2015,302.6126316,431.2106216,552.6826125,818.9202775,466225.9972,824892.5825,805728.8087,1599505.876
2016,96.92197576,215.7292948,432.5160375,687.2963052,175051.8882,515399.3716,593098.7348,1342420.529
2017,226.1063825,354.196127,513.1711472,738.6519534,380096.2945,754630.3791,760636.1694,1433250.627
2018,86.9509589,214.4808098,701.8243602,951.9735029,149973.524,507994.4818,899699.1523,1592169.855
2019,203.1966104,320.9595994,639.1247337,856.3379974,303759.4279,616907.6576,828924.9241,1436127.465
2020,110.9761191,206.6351654,313.8909768,490.0235643,177900.2835,423574.5237,436977.0701,915684.8678
2021,249.2769626,364.5963298,789.3981299,975.9421719,342649.9312,617245.2149,973478.0787,1459392.796
2022,118.9933681,260.2653132,297.4569069,532.4685055,189140.9963,543951.9258,428969.9023,1033481.915
2023,241.3400081,358.4195288,811.1333958,1012.687955,335339.3281,646941.0526,976995.7027,1519239.348
2024,85.03531354,189.1023144,259.6579666,437.6579666,120676.3851,377960.8242,334347.1374,802681.7976
