,stock.id,species,stock.name,lat,lon,ocean.basin,state,begin,end,n.years,max.spawners,max.recruits,source,url,comments,BC comments
84,84,Chum,Willapa Bay-Chum,46.3733,123.9575,WC,WA,1968,2016,49,84021,250667,NA,NA,,
85,85,Chum,Grays Harbour-Chum,46.95083,124.0497,WC,WA,1969,2016,44,62811,193236,NA,NA,,
86,86,Chum,S Sound Summer-Chum,47.042,122.835,WC,WA,1968,2016,49,120782,201832,NA,NA,,
87,87,Chum,S Sound Fall-Chum,47.042,122.835,WC,WA,1968,2016,49,367456,1113891,NA,NA,,
88,88,Chum,S Sound Winter-Chum,47.042,122.835,WC,WA,1968,2016,49,203571,347441,NA,NA,,
89,89,Chum,Hood Canal-Chum,47.5644,122.9956,WC,WA,1968,2016,49,251803,638817,NA,NA,,
90,90,Chum,Port Susan-Chum,48.23861,122.3758,WC,WA,1968,2016,49,370502,654809,NA,NA,Sum of Stillaguamish and Snohomish stocks,
91,91,Chum,Skagit-Chum,48.3875,122.3656,WC,WA,1968,2016,49,209478,432486,NA,NA,,
92,92,Chum,Bellingham-Chum,48.775,122.5978,WC,WA,1968,2016,49,104127,175640,NA,NA,Sum of Nooksack and Samish stocks,
93,93,Chum,Strait of Juan de Fuca-Chum,48.1618,-123.59,WC,WA,1968,2016,49,12552,12375,NA,NA,NA,
94,94,Chum,Fraser-Chum,49.12333,123.0569,WC,BC,1959,1992,33,1295255,2040923.63,"Ryall, P., C. Murray, V. Palermo, D. Bailey, and D. Chen. 1999. Status of Clockwork Chum Salmon Stock and Review of the Clockwork Management Strategy. Technical report, Canadian Department of Fisheries and Oceans, Canadian Stock Assessment Secretariat Research Document 99/169",NA,,
95,95,Chum,BC South (no Fraser)-Chum,50.28778,125.2008,WC,BC,1953,2002,50,2106443,3070728,"Pieter Van Will, Fisheries and Oceans Canada (DFO), Port Hardy, BC; Van Will, P., R. Brahniuk, L. Hop Wo, and G. Pestal. 2009. Certification Unit Profile: Inner South Coast Chum Salmon (Excluding Fraser River). Technical report, Canadian Manuscript Report of Fisheries and Aquatic Sciences 2876",NA,"Statistical Areas 11-17, 28A, 28B, 29B",
96,96,Chum,Kadashan-Chum,57.575,134.75,WC,AK,1969,1984,16,64928,214105,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK",NA,,
97,97,Chum,Chilkat-Chum,59.201231,135.466669,WC,AK,1994,2005,12,310000,672333.8177,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK",NA,,
98,98,Chum,East Alsek-Chum,59.434,139.547,WC,AK,1960,1987,21,40000,60214,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK",NA,,
99,99,Chum,PWS-Chum,60.5,147,GOA,AK,1965,2004,40,491270,4645827,"Botz, J., G. Hollowell, T. Sheridan, R. Brenner, and S. Moffitt. 2012. 2010 Prince William Sound Area Finfish Management Report. Technical report, Fishery Management Report No. 12-06, Alaska Department of Fish and Game",NA,,
100,100,Chum,Kamishak-Chum,59.27,154.1175,GOA,AK,1971,2006,34,196900,361995,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK; Hollowell, G., T. Otis, and E. Ford. 2012. 2011 Lower Cook Inlet area finfish management report. Technical report, Fishery Management Report No. 12-30, Alaska Department of Fish and Game",NA,,
101,101,Chum,Outer CIn-Chum,59.38389,150.7528,GOA,AK,1970,2006,37,64200,285493,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK; Hollowell, G., T. Otis, and E. Ford. 2012. 2011 Lower Cook Inlet area finfish management report. Technical report, Fishery Management Report No. 12-30, Alaska Department of Fish and Game",NA,,
102,102,Chum,S CIn-Chum,59.52528,151.48,GOA,AK,1970,2006,37,11400,25720,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK; Hollowell, G., T. Otis, and E. Ford. 2012. 2011 Lower Cook Inlet area finfish management report. Technical report, Fishery Management Report No. 12-30, Alaska Department of Fish and Game",NA,,
103,103,Chum,Upper CIn-Chum,61.271,150.576,GOA,AK,1971,2008,35,34100,55283,"Patrick Shields, Alaska Department of Fish and Game (ADFG), Soldotna, AK",NA,,
104,104,Chum,Alitak-Chum,56.88528,154.1217,GOA,AK,1978,2007,30,121900,225103,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,,
105,105,Chum,E Kod-Chum,57.089858,153.187928,GOA,AK,1978,2007,30,328700,574595,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,,
106,106,Chum,SW Kod-Chum,57.264508,154.613211,GOA,AK,1978,2007,30,160339,151012,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,,
